Entidad federativa,Grupos quinquenales de edad,2010 Total,2010 Hombres,2010 Mujeres,2011 Total,2011 Hombres,2011 Mujeres,2012 Total,2012 Hombres,2012 Mujeres,2013 Total,2013 Hombres,2013 Mujeres,2014 Total,2014 Hombres,2014 Mujeres,2015 Total,2015 Hombres,2015 Mujeres,2016 Total,2016 Hombres,2016 Mujeres,2017 Total,2017 Hombres,2017 Mujeres
Colima,45 a 49 años,2,2,0,4,4,0,3,3,0,4,4,0,2,2,0,6,6,0,2,2,0,1,1,0
Colima,50 a 54 años,4,4,0,3,3,0,2,2,0,4,3,1,1,0,1,1,1,0,1,1,0,5,5,0
Colima,55 a 59 años,1,1,0,1,1,0,0,0,0,5,4,1,3,3,0,1,1,0,2,2,0,3,3,0
Colima,60 años y más,1,1,0,5,5,0,7,7,0,3,3,0,3,3,0,6,5,1,10,10,0,4,4,0
Colima,No especificado,1,1,0,0,0,0,2,2,0,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0
Chiapas,Total,88,79,9,230,194,36,189,142,47,315,261,54,321,268,53,316,267,49,272,216,56,262,205,57
Chiapas,10 a 14 años,4,4,0,12,7,5,4,3,1,5,3,2,14,9,5,17,10,7,9,5,4,12,5,7
Chiapas,15 a 19 años,10,9,1,38,27,11,36,19,17,40,23,17,48,32,16,42,32,10,35,20,15,49,32,17
Chiapas,20 a 24 años,10,10,0,46,38,8,42,28,14,55,52,3,58,50,8,55,45,10,59,53,6,42,39,3
Chiapas,25 a 29 años,15,13,2,32,30,2,25,20,5,45,37,8,46,42,4,43,37,6,47,39,8,37,28,9
Chiapas,30 a 34 años,15,14,1,26,24,2,25,21,4,36,32,4,35,32,3,32,27,5,30,25,5,29,21,8
Chiapas,35 a 39 años,9,7,2,20,18,2,17,16,1,27,24,3,29,21,8,25,22,3,23,18,5,23,20,3
Chiapas,40 a 44 años,0,0,0,15,12,3,12,9,3,17,15,2,25,22,3,23,20,3,20,17,3,23,19,4
Chiapas,45 a 49 años,6,5,1,13,12,1,7,6,1,25,21,4,11,10,1,22,20,2,10,8,2,7,6,1
Chiapas,50 a 54 años,8,8,0,7,6,1,5,4,1,13,10,3,12,11,1,7,6,1,6,4,2,11,9,2
Chiapas,55 a 59 años,3,3,0,3,3,0,7,7,0,12,10,2,12,11,1,19,18,1,5,5,0,3,3,0
Chiapas,60 años y más,7,6,1,17,16,1,9,9,0,38,33,5,30,28,2,30,29,1,27,21,6,24,22,2
Chiapas,No especificado,1,0,1,1,1,0,0,0,0,2,1,1,1,0,1,1,1,0,1,1,0,2,1,1
Chihuahua,Total,234,203,31,289,242,47,266,223,43,310,251,58,326,250,76,421,325,96,438,339,99,405,315,90
Chihuahua,10 a 14 años,8,5,3,11,5,6,4,3,1,10,6,4,8,3,5,14,5,9,9,4,5,9,5,4
Chihuahua,15 a 19 años,25,17,8,24,16,8,30,24,6,31,20,11,32,18,14,45,24,21,54,38,16,52,37,15
Chihuahua,20 a 24 años,35,31,4,46,41,5,44,38,6,45,36,9,58,45,13,61,44,17,76,60,16,70,52,18
